index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago
342|1629610920000|3,4236|3,426|3,4236|3,426|79,31|1629610979999|271,674702|6|56,26|192,738006|22.08.2021 07:42:00|22.08.2021 07:42:59|0,0024|0,0024|0,0701016473887136347704171|0,0701016473887136347704171|0,14302393461762988908347928|-0,01459172357438860678223312|0,22779708536549750299348734|-0,09327542484041157781210832|0,08164931618697693406817718|-0,06119237717815723527012064|0,14863171392766589922186926|-0,0844274942501965122710996|0,0990099009900990099009901|0,02620239897519506230348201|3,4266|3,4261|3,4307|3,4275|3,4318|3,4297|3,4349|3,432|3,4348|3,4357|0|0|0|0|1|1INCHUSDT|True|00001|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25
343|1629610980000|3,4245|3,4292|3,4227|3,4227|6113,61|1629611039999|20947,593055|55|4617,58|15822,889639|22.08.2021 07:43:00|22.08.2021 07:43:59|-0,0018|0,0065|0,18990855172816782072632717|-0,05256241787122207621550591|0,0701016473887136347704171|0,0701016473887136347704171|0,14302393461762988908347928|-0,01459172357438860678223312|0,22779708536549750299348734|-0,09327542484041157781210832|0,08164931618697693406817718|-0,06119237717815723527012064|0,14863171392766589922186926|-0,0844274942501965122710996|3,4236|3,426|3,4266|3,4261|3,4307|3,4275|3,4318|3,4297|3,4349|3,432|1|0|0|0|0|1INCHUSDT|False|10000|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
344|1629611040000|3,4243|3,4268|3,4242|3,425|1217,06|1629611099999|4168,669738|20|1217,06|4168,669738|22.08.2021 07:44:00|22.08.2021 07:44:59|0,0007|0,0026|0,07593014426727410782080486|0,02044213415880617936512572|0,18990855172816782072632717|-0,05256241787122207621550591|0,0701016473887136347704171|0,0701016473887136347704171|0,14302393461762988908347928|-0,01459172357438860678223312|0,22779708536549750299348734|-0,09327542484041157781210832|0,08164931618697693406817718|-0,06119237717815723527012064|3,4245|3,4227|3,4236|3,426|3,4266|3,4261|3,4307|3,4275|3,4318|3,4297|0|1|0|0|0|1INCHUSDT|True|01000|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25
345|1629611100000|3,4251|3,4261|3,4229|3,4229|13088,57|1629611159999|44829,038012|75|12911,97|44224,301872|22.08.2021 07:45:00|22.08.2021 07:45:59|-0,0022|0,0032|0,09348797803032516287358672|-0,06423170126419666579077983|0,07593014426727410782080486|0,02044213415880617936512572|0,18990855172816782072632717|-0,05256241787122207621550591|0,0701016473887136347704171|0,0701016473887136347704171|0,14302393461762988908347928|-0,01459172357438860678223312|0,22779708536549750299348734|-0,09327542484041157781210832|3,4243|3,425|3,4245|3,4227|3,4236|3,426|3,4266|3,4261|3,4307|3,4275|1|0|1|0|0|1INCHUSDT|False|10100|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25
346|1629611160000|3,424|3,4246|3,4211|3,422|1084,35|1629611219999|3711,281462|16|191,53|655,715682|22.08.2021 07:46:00|22.08.2021 07:46:59|-0,002|0,0035|0,10230627575925871795621291|-0,05841121495327102803738318|0,09348797803032516287358672|-0,06423170126419666579077983|0,07593014426727410782080486|0,02044213415880617936512572|0,18990855172816782072632717|-0,05256241787122207621550591|0,0701016473887136347704171|0,0701016473887136347704171|0,14302393461762988908347928|-0,01459172357438860678223312|3,4251|3,4229|3,4243|3,425|3,4245|3,4227|3,4236|3,426|3,4266|3,4261|0|1|0|1|0|1INCHUSDT|False|01010|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25
347|1629611220000|3,4217|3,4218|3,418|3,4216|3858,19|1629611279999|13192,718135|99|1745,57|5967,767391|22.08.2021 07:47:00|22.08.2021 07:47:59|-0,0001|0,0038|0,11117612638970157987126975|-0,00292252389163281409825525|0,10230627575925871795621291|-0,05841121495327102803738318|0,09348797803032516287358672|-0,06423170126419666579077983|0,07593014426727410782080486|0,02044213415880617936512572|0,18990855172816782072632717|-0,05256241787122207621550591|0,0701016473887136347704171|0,0701016473887136347704171|3,424|3,422|3,4251|3,4229|3,4243|3,425|3,4245|3,4227|3,4236|3,426|0|0|1|0|1|1INCHUSDT|False|00101|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25
348|1629611280000|3,4204|3,4207|3,4181|3,4207|606,13|1629611339999|2072,376271|10|60,7|207,628801|22.08.2021 07:48:00|22.08.2021 07:48:59|0,0003|0,0026|0,0760656505075919370410462|0,00877090398783767980353175|0,11117612638970157987126975|-0,00292252389163281409825525|0,10230627575925871795621291|-0,05841121495327102803738318|0,09348797803032516287358672|-0,06423170126419666579077983|0,07593014426727410782080486|0,02044213415880617936512572|0,18990855172816782072632717|-0,05256241787122207621550591|3,4217|3,4216|3,424|3,422|3,4251|3,4229|3,4243|3,425|3,4245|3,4227|0|0|0|1|0|1INCHUSDT|True|00010|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25
349|1629611340000|3,4207|3,4272|3,4191|3,4249|2126,01|1629611399999|7277,401094|31|1456,55|4984,940262|22.08.2021 07:49:00|22.08.2021 07:49:59|0,0042|0,0081|0,23690444853908923400894972|0,12278188674832636594849008|0,0760656505075919370410462|0,00877090398783767980353175|0,11117612638970157987126975|-0,00292252389163281409825525|0,10230627575925871795621291|-0,05841121495327102803738318|0,09348797803032516287358672|-0,06423170126419666579077983|0,07593014426727410782080486|0,02044213415880617936512572|3,4204|3,4207|3,4217|3,4216|3,424|3,422|3,4251|3,4229|3,4243|3,425|1|0|0|0|1|1INCHUSDT|True|10001|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25
350|1629611400000|3,4249|3,4251|3,4207|3,4214|726,01|1629611459999|2485,16208|17|363,03|1242,756558|22.08.2021 07:50:00|22.08.2021 07:50:59|-0,0035|0,0044|0,12862864326015143099365627|-0,10219276475225554030774621|0,23690444853908923400894972|0,12278188674832636594849008|0,0760656505075919370410462|0,00877090398783767980353175|0,11117612638970157987126975|-0,00292252389163281409825525|0,10230627575925871795621291|-0,05841121495327102803738318|0,09348797803032516287358672|-0,06423170126419666579077983|3,4207|3,4249|3,4204|3,4207|3,4217|3,4216|3,424|3,422|3,4251|3,4229|1|1|0|0|0|1INCHUSDT|False|11000|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25
351|1629611460000|3,4216|3,4234|3,4216|3,4222|556,34|1629611519999|1904,187712|13|202,68|693,714512|22.08.2021 07:51:00|22.08.2021 07:51:59|0,0006|0,0018|0,05260696750058452186111761|0,01753565583352817395370587|0,12862864326015143099365627|-0,10219276475225554030774621|0,23690444853908923400894972|0,12278188674832636594849008|0,0760656505075919370410462|0,00877090398783767980353175|0,11117612638970157987126975|-0,00292252389163281409825525|0,10230627575925871795621291|-0,05841121495327102803738318|3,4249|3,4214|3,4207|3,4249|3,4204|3,4207|3,4217|3,4216|3,424|3,422|0|1|1|0|0|1INCHUSDT|True|01100|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25
352|1629611520000|3,4226|3,4258|3,4211|3,4254|2734,21|1629611579999|9362,253382|34|1897,8|6499,547511|22.08.2021 07:52:00|22.08.2021 07:52:59|0,0028|0,0047|0,1373827131624331355412002|0,08180915093788348039502133|0,05260696750058452186111761|0,01753565583352817395370587|0,12862864326015143099365627|-0,10219276475225554030774621|0,23690444853908923400894972|0,12278188674832636594849008|0,0760656505075919370410462|0,00877090398783767980353175|0,11117612638970157987126975|-0,00292252389163281409825525|3,4216|3,4222|3,4249|3,4214|3,4207|3,4249|3,4204|3,4207|3,4217|3,4216|1|0|1|1|0|1INCHUSDT|True|10110|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25
353|1629611580000|3,4259|3,4275|3,4244|3,4275|2445,41|1629611639999|8377,251523|26|1843,1|6314,349023|22.08.2021 07:53:00|22.08.2021 07:53:59|0,0016|0,0031|0,09052680761593271814040416|0,046703056131235587728772|0,1373827131624331355412002|0,08180915093788348039502133|0,05260696750058452186111761|0,01753565583352817395370587|0,12862864326015143099365627|-0,10219276475225554030774621|0,23690444853908923400894972|0,12278188674832636594849008|0,0760656505075919370410462|0,00877090398783767980353175|3,4226|3,4254|3,4216|3,4222|3,4249|3,4214|3,4207|3,4249|3,4204|3,4207|1|1|0|1|1|1INCHUSDT|True|11011|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25
354|1629611640000|3,427|3,427|3,4226|3,4241|1717,46|1629611699999|5881,009938|17|1173,44|4018,005376|22.08.2021 07:54:00|22.08.2021 07:54:59|-0,0029|0,0044|0,12855723718810261204931923|-0,08462211847096585935220309|0,09052680761593271814040416|0,046703056131235587728772|0,1373827131624331355412002|0,08180915093788348039502133|0,05260696750058452186111761|0,01753565583352817395370587|0,12862864326015143099365627|-0,10219276475225554030774621|0,23690444853908923400894972|0,12278188674832636594849008|3,4259|3,4275|3,4226|3,4254|3,4216|3,4222|3,4249|3,4214|3,4207|3,4249|1|1|1|0|1|1INCHUSDT|False|11101|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25
355|1629611700000|3,4241|3,4248|3,4211|3,4224|1849,94|1629611759999|6332,643356|26|595,8|2040,071475|22.08.2021 07:55:00|22.08.2021 07:55:59|-0,0017|0,0037|0,10815234865978778755371079|-0,04964808270786484039601647|0,12855723718810261204931923|-0,08462211847096585935220309|0,09052680761593271814040416|0,046703056131235587728772|0,1373827131624331355412002|0,08180915093788348039502133|0,05260696750058452186111761|0,01753565583352817395370587|0,12862864326015143099365627|-0,10219276475225554030774621|3,427|3,4241|3,4259|3,4275|3,4226|3,4254|3,4216|3,4222|3,4249|3,4214|0|1|1|1|0|1INCHUSDT|False|01110|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25
356|1629611760000|3,424|3,425|3,4232|3,4249|286,1|1629611819999|979,566103|12|281,05|962,277428|22.08.2021 07:56:00|22.08.2021 07:56:59|0,0009|0,0018|0,05258237906052816078523019|0,02628504672897196261682243|0,10815234865978778755371079|-0,04964808270786484039601647|0,12855723718810261204931923|-0,08462211847096585935220309|0,09052680761593271814040416|0,046703056131235587728772|0,1373827131624331355412002|0,08180915093788348039502133|0,05260696750058452186111761|0,01753565583352817395370587|3,4241|3,4224|3,427|3,4241|3,4259|3,4275|3,4226|3,4254|3,4216|3,4222|0|0|1|1|1|1INCHUSDT|True|00111|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25
357|1629611820000|3,4239|3,4242|3,4211|3,4223|472,29|1629611879999|1616,775542|14|150,12|513,891022|22.08.2021 07:57:00|22.08.2021 07:57:59|-0,0016|0,0031|0,09061412995820057876121715|-0,04673033675048920821285668|0,05258237906052816078523019|0,02628504672897196261682243|0,10815234865978778755371079|-0,04964808270786484039601647|0,12855723718810261204931923|-0,08462211847096585935220309|0,09052680761593271814040416|0,046703056131235587728772|0,1373827131624331355412002|0,08180915093788348039502133|3,424|3,4249|3,4241|3,4224|3,427|3,4241|3,4259|3,4275|3,4226|3,4254|1|0|0|1|1|1INCHUSDT|False|10011|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25
358|1629611880000|3,4223|3,4224|3,4212|3,4212|69,94|1629611939999|239,292186|5|55,25|189,034758|22.08.2021 07:58:00|22.08.2021 07:58:59|-0,0011|0,0012|0,03507541213609259908803928|-0,03214212663997896151710838|0,09061412995820057876121715|-0,04673033675048920821285668|0,05258237906052816078523019|0,02628504672897196261682243|0,10815234865978778755371079|-0,04964808270786484039601647|0,12855723718810261204931923|-0,08462211847096585935220309|0,09052680761593271814040416|0,046703056131235587728772|3,4239|3,4223|3,424|3,4249|3,4241|3,4224|3,427|3,4241|3,4259|3,4275|0|1|0|0|1|1INCHUSDT|False|01001|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25
359|1629611940000|3,4223|3,425|3,4217|3,4237|939,87|1629611999999|3216,887055|15|891,31|3050,706518|22.08.2021 07:59:00|22.08.2021 07:59:59|0,0014|0,0033|0,09644328842388286524242336|0,04090816117815504193086521|0,03507541213609259908803928|-0,03214212663997896151710838|0,09061412995820057876121715|-0,04673033675048920821285668|0,05258237906052816078523019|0,02628504672897196261682243|0,10815234865978778755371079|-0,04964808270786484039601647|0,12855723718810261204931923|-0,08462211847096585935220309|3,4223|3,4212|3,4239|3,4223|3,424|3,4249|3,4241|3,4224|3,427|3,4241|0|0|1|0|0|1INCHUSDT|True|00100|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25
360|1629612000000|3,4238|3,4292|3,4238|3,4292|2218,15|1629612059999|7598,540417|34|1545,47|5294,296869|22.08.2021 08:00:00|22.08.2021 08:00:59|0,0054|0,0054|0,15771949296103744377592149|0,15771949296103744377592149|0,09644328842388286524242336|0,04090816117815504193086521|0,03507541213609259908803928|-0,03214212663997896151710838|0,09061412995820057876121715|-0,04673033675048920821285668|0,05258237906052816078523019|0,02628504672897196261682243|0,10815234865978778755371079|-0,04964808270786484039601647|3,4223|3,4237|3,4223|3,4212|3,4239|3,4223|3,424|3,4249|3,4241|3,4224|1|0|0|1|0|1INCHUSDT|True|10010|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25
361|1629612060000|3,4283|3,4347|3,4283|3,4347|3398,52|1629612119999|11661,555658|31|2647,51|9086,610706|22.08.2021 08:01:00|22.08.2021 08:01:59|0,0064|0,0064|0,18668144561444447685441764|0,18668144561444447685441764|0,15771949296103744377592149|0,15771949296103744377592149|0,09644328842388286524242336|0,04090816117815504193086521|0,03507541213609259908803928|-0,03214212663997896151710838|0,09061412995820057876121715|-0,04673033675048920821285668|0,05258237906052816078523019|0,02628504672897196261682243|3,4238|3,4292|3,4223|3,4237|3,4223|3,4212|3,4239|3,4223|3,424|3,4249|1|1|0|0|1|1INCHUSDT|True|11001|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25
362|1629612120000|3,4345|3,4345|3,4281|3,4325|985,75|1629612179999|3381,230903|27|445,06|1526,51085|22.08.2021 08:02:00|22.08.2021 08:02:59|-0,002|0,0064|0,18669233686298532714914967|-0,05823263939438055029844228|0,18668144561444447685441764|0,18668144561444447685441764|0,15771949296103744377592149|0,15771949296103744377592149|0,09644328842388286524242336|0,04090816117815504193086521|0,03507541213609259908803928|-0,03214212663997896151710838|0,09061412995820057876121715|-0,04673033675048920821285668|3,4283|3,4347|3,4238|3,4292|3,4223|3,4237|3,4223|3,4212|3,4239|3,4223|1|1|1|0|0|1INCHUSDT|False|11100|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25
363|1629612180000|3,4324|3,4324|3,4287|3,4299|2122,01|1629612239999|7278,517469|18|918,67|3151,182694|22.08.2021 08:03:00|22.08.2021 08:03:59|-0,0025|0,0037|0,10791261994341878846209934|-0,07283533387717049294953968|0,18669233686298532714914967|-0,05823263939438055029844228|0,18668144561444447685441764|0,18668144561444447685441764|0,15771949296103744377592149|0,15771949296103744377592149|0,09644328842388286524242336|0,04090816117815504193086521|0,03507541213609259908803928|-0,03214212663997896151710838|3,4345|3,4325|3,4283|3,4347|3,4238|3,4292|3,4223|3,4237|3,4223|3,4212|0|1|1|1|0|1INCHUSDT|False|01110|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25
364|1629612240000|3,4283|3,4299|3,4283|3,4299|259,15|1629612299999|888,612349|11|108,06|370,630502|22.08.2021 08:04:00|22.08.2021 08:04:59|0,0016|0,0016|0,04667036140361111921360441|0,04667036140361111921360441|0,10791261994341878846209934|-0,07283533387717049294953968|0,18669233686298532714914967|-0,05823263939438055029844228|0,18668144561444447685441764|0,18668144561444447685441764|0,15771949296103744377592149|0,15771949296103744377592149|0,09644328842388286524242336|0,04090816117815504193086521|3,4324|3,4299|3,4345|3,4325|3,4283|3,4347|3,4238|3,4292|3,4223|3,4237|0|0|1|1|1|1INCHUSDT|True|00111|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25
