Currency|BinaryData|ShouldBuy|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|1
AVAXUSDT|11000|True|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0,5 - 1|1 - 2|1
AVAXUSDT|11100|True|1 - 2|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0,5 - 1|1
AVAXUSDT|11110|False|0,5 - 1|1 - 2|0,5 - 1|0,0 - 0,25|0,0 - 0,25|1
AVAXUSDT|01111|True|0,25 - 0,5|0,5 - 1|1 - 2|0,5 - 1|0,0 - 0,25|1
AVAXUSDT|10111|True|2 - 3|0,25 - 0,5|0,5 - 1|1 - 2|0,5 - 1|1
AVAXUSDT|11011|True|1 - 2|2 - 3|0,25 - 0,5|0,5 - 1|1 - 2|1
AVAXUSDT|11101|True|1 - 2|1 - 2|2 - 3|0,25 - 0,5|0,5 - 1|1
AVAXUSDT|11110|False|3 - 4|1 - 2|1 - 2|2 - 3|0,25 - 0,5|1
AVAXUSDT|01111|True|1 - 2|3 - 4|1 - 2|1 - 2|2 - 3|1
AVAXUSDT|10111|False|2 - 3|1 - 2|3 - 4|1 - 2|1 - 2|1
AVAXUSDT|01011|True|1 - 2|2 - 3|1 - 2|3 - 4|1 - 2|1
AVAXUSDT|10101|True|0,5 - 1|1 - 2|2 - 3|1 - 2|3 - 4|1
AVAXUSDT|11010|True|1 - 2|0,5 - 1|1 - 2|2 - 3|1 - 2|1
AVAXUSDT|11101|True|1 - 2|1 - 2|0,5 - 1|1 - 2|2 - 3|1
AVAXUSDT|11110|False|2 - 3|1 - 2|1 - 2|0,5 - 1|1 - 2|1
AVAXUSDT|01111|False|1 - 2|2 - 3|1 - 2|1 - 2|0,5 - 1|1
AVAXUSDT|00111|True|1 - 2|1 - 2|2 - 3|1 - 2|1 - 2|1
AVAXUSDT|10011|False|0,5 - 1|1 - 2|1 - 2|2 - 3|1 - 2|1
AVAXUSDT|01001|True|1 - 2|0,5 - 1|1 - 2|1 - 2|2 - 3|1
AVAXUSDT|10100|True|0,5 - 1|1 - 2|0,5 - 1|1 - 2|1 - 2|1
AVAXUSDT|11010|False|1 - 2|0,5 - 1|1 - 2|0,5 - 1|1 - 2|1
AVAXUSDT|01101|False|0,5 - 1|1 - 2|0,5 - 1|1 - 2|0,5 - 1|1
AVAXUSDT|00110|False|1 - 2|0,5 - 1|1 - 2|0,5 - 1|1 - 2|1
AVAXUSDT|00011|True|0,5 - 1|1 - 2|0,5 - 1|1 - 2|0,5 - 1|1
