CKBUSDT||True|||||||||||3
CKBUSDT|1100101010|False|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|0,25 - 0,5|0,0 - 0,25|1
CKBUSDT|0110010101|False|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|0,25 - 0,5|1
CKBUSDT|0011001010|False|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|1
CKBUSDT|0001100101|False|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|1
CKBUSDT|0000110010|True|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1
CKBUSDT|1000011001|False|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1
CKBUSDT|0100001100|False|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1
CKBUSDT|0010000110|False|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1
CKBUSDT|0001000011|False|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1
CKBUSDT|0000100001|False|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|-0,5 - -1|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1
CKBUSDT|0000010000|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|-1 - -2|-0,5 - -1|0 - -0,25|0,0 - 0,25|0,0 - 0,25|1
CKBUSDT|1000001000|True|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|-0,5 - -1|-1 - -2|-0,5 - -1|0 - -0,25|0,0 - 0,25|1
CKBUSDT|1100000100|True|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|-0,25 - -0,5|-0,5 - -1|-1 - -2|-0,5 - -1|0 - -0,25|1
CKBUSDT|1110000010|True|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,0 - 0,25|-0,25 - -0,5|-0,5 - -1|-1 - -2|-0,5 - -1|1
CKBUSDT|1111000001|False|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|1 - 2|0,0 - 0,25|-0,25 - -0,5|-0,5 - -1|-1 - -2|1
CKBUSDT|0111100000|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|0,0 - 0,25|-0,25 - -0,5|-0,5 - -1|1
CKBUSDT|1011110000|True|0,0 - 0,25|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1 - 2|1 - 2|1 - 2|0,0 - 0,25|-0,25 - -0,5|1
CKBUSDT|1101111000|True|0,5 - 1|0,0 - 0,25|0,5 - 1|0,5 - 1|0,25 - 0,5|1 - 2|1 - 2|1 - 2|1 - 2|0,0 - 0,25|1
CKBUSDT|1110111100|True|0,5 - 1|0,5 - 1|0,0 - 0,25|0,5 - 1|0,5 - 1|2 - 3|1 - 2|1 - 2|1 - 2|1 - 2|1
CKBUSDT|1111011110|False|0,0 - 0,25|0,5 - 1|0,5 - 1|0,0 - 0,25|0,5 - 1|1 - 2|2 - 3|1 - 2|1 - 2|1 - 2|1
CKBUSDT|0111101111|False|0,25 - 0,5|0,0 - 0,25|0,5 - 1|0,5 - 1|0,0 - 0,25|1 - 2|1 - 2|2 - 3|1 - 2|1 - 2|1
CKBUSDT|0011110111|False|1 - 2|0,25 - 0,5|0,0 - 0,25|0,5 - 1|0,5 - 1|1 - 2|1 - 2|1 - 2|2 - 3|1 - 2|1
CKBUSDT|0001111011|False|0,25 - 0,5|1 - 2|0,25 - 0,5|0,0 - 0,25|0,5 - 1|0,0 - 0,25|1 - 2|1 - 2|1 - 2|2 - 3|1
CKBUSDT|0000111101|False|0,25 - 0,5|0,25 - 0,5|1 - 2|0,25 - 0,5|0,0 - 0,25|-0,5 - -1|0,0 - 0,25|1 - 2|1 - 2|1 - 2|1
CKBUSDT|0000011110|False|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|1 - 2|0,25 - 0,5|-1 - -2|-0,5 - -1|0,0 - 0,25|1 - 2|1 - 2|1
CKBUSDT|0000001111|False|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|1 - 2|-1 - -2|-1 - -2|-0,5 - -1|0,0 - 0,25|1 - 2|1
CKBUSDT|0000000111|True|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|-0,25 - -0,5|-1 - -2|-1 - -2|-0,5 - -1|0,0 - 0,25|1
CKBUSDT|1000000011|True|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|-0,25 - -0,5|-1 - -2|-1 - -2|-0,5 - -1|1
CKBUSDT|1100000001|True|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|-0,25 - -0,5|-1 - -2|-1 - -2|1
